1	0.93336	0.016392	-0.20148	1.835	4.0134	1.9978
2	1.1097	0.035898	-0.083589	1.9959	4.1081	2.0687
3	0.9839	-0.11452	0.015552	2.044	3.9528	1.9683
4	1.0638	-0.029653	-0.086746	2.0808	4.0665	1.9097
5	1.1391	0.015197	-0.13954	2.0312	4.1146	1.9274
6	0.97523	-0.041673	0.043643	2.0482	4.0314	1.9288
7	1.1355	-0.014332	-0.027515	1.9682	4.1921	2.1094
8	0.83134	-0.12811	0.013759	1.9073	3.843	1.9784
9	1.2273	0.17238	-0.077272	2.0014	3.7762	2.0507
10	1.0573	-0.14101	-0.1619	2.0185	3.9371	1.9056
11	0.93452	-0.00055045	-0.06384	2.0226	3.9863	2.1227
12	0.82502	0.031456	-0.10531	1.8656	3.992	2.1176
13	1.0007	0.05108	0.088193	1.9319	3.9586	1.9898
14	0.96262	0.021275	0.087332	1.8801	3.9479	1.7628
15	0.95099	0.21645	0.019983	1.8409	4.1234	2.0426
16	0.97467	0.23909	0.0027139	1.9444	4.0076	2.1307
17	0.86919	-0.073902	-0.056467	2.0208	4.193	1.8675
18	1.0169	-0.0092378	-0.090895	2.0567	3.8571	1.9747
19	0.95624	-0.058786	-0.027551	2.0016	3.9437	2.0076
20	1.0086	-0.0072332	0.18599	2.0896	4.0563	2.0733
